"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","tamanho petala",1.7,"cm"
"2","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","largura petala",0.2,"cm"
"3","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","tamanho sepala",5.4,"cm"
"4","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","largura sepala",3.4,"cm"
"5","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","tamanho petala",1.7,"cm"
"6","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","largura petala",0.5,"cm"
"7","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","tamanho sepala",5.1,"cm"
"8","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","largura sepala",3.3,"cm"
"9","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","tamanho petala",1.5,"cm"
"10","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","largura petala",0.1,"cm"
"11","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","tamanho sepala",5.2,"cm"
"12","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","largura sepala",4.1,"cm"
"13","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","tamanho petala",1.4,"cm"
"14","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","largura petala",0.2,"cm"
"15","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","tamanho sepala",5.1,"cm"
"16","Site2_1930-02-13","Site2_1930-02-13_A29","Edgar Anderson","largura sepala",3.4,"cm"
"17","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","tamanho petala",1.5,"cm"
"18","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","largura petala",0.2,"cm"
"19","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","tamanho sepala",4.9,"cm"
"20","Site2_1930-02-13","Site2_1930-02-13_A35","Edgar Anderson","largura sepala",3.1,"cm"
"21","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","tamanho petala",1.4,"cm"
"22","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","largura petala",0.2,"cm"
"23","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","tamanho sepala",5,"cm"
"24","Site2_1930-02-13","Site2_1930-02-13_A5","Edgar Anderson","largura sepala",3.6,"cm"
"25","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","tamanho petala",1.1,"cm"
"26","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","largura petala",0.1,"cm"
"27","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","tamanho sepala",4.3,"cm"
"28","Site2_1930-02-13","Site2_1930-02-13_A14","Edgar Anderson","largura sepala",3,"cm"
"29","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","tamanho petala",1.3,"cm"
"30","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","largura petala",0.2,"cm"
"31","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","tamanho sepala",5.5,"cm"
"32","Site3_1929-12-01","Site3_1929-12-01_A37","Edgar Anderson","largura sepala",3.5,"cm"
"33","Site3_1929-12-01","Site3_1929-12-01_A10","Edgar Anderson","tamanho petala",1.5,"cm"
"34","Site3_1929-12-01","Site3_1929-12-01_A10","Edgar Anderson","largura petala",0.1,"cm"
"35","Site3_1929-12-01","Site3_1929-12-01_A10","Edgar Anderson","tamanho sepala",4.9,"cm"
"36","Site3_1929-12-01","Site3_1929-12-01_A10","Edgar Anderson","largura sepala",3.1,"cm"
"37","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","tamanho petala",6.4,"cm"
"38","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","largura petala",2.9,"cm"
"39","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","tamanho sepala",4.3,"cm"
"40","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","largura sepala",1.3,"cm"
"41","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","tamanho petala",5.7,"cm"
"42","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","largura petala",3,"cm"
"43","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","tamanho sepala",4.2,"cm"
"44","Site1_1929-12-01","Site1_1929-12-01_A96","Edgar Anderson","largura sepala",1.2,"cm"
"45","Site2_1930-02-13","Site2_1930-02-13_A128","Edgar Anderson","tamanho petala",6.1,"cm"
"46","Site2_1930-02-13","Site2_1930-02-13_A128","Edgar Anderson","largura petala",3,"cm"
"47","Site2_1930-02-13","Site2_1930-02-13_A128","Edgar Anderson","tamanho sepala",4.9,"cm"
"48","Site2_1930-02-13","Site2_1930-02-13_A128","Edgar Anderson","largura sepala",1.8,"cm"
"49","Site3_1929-12-01","Site3_1929-12-01_A133","Edgar Anderson","tamanho petala",6.4,"cm"
"50","Site3_1929-12-01","Site3_1929-12-01_A133","Edgar Anderson","largura petala",2.8,"cm"
"51","Site3_1929-12-01","Site3_1929-12-01_A133","Edgar Anderson","tamanho sepala",5.6,"cm"
"52","Site3_1929-12-01","Site3_1929-12-01_A133","Edgar Anderson","largura sepala",2.2,"cm"
"53","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","tamanho petala",4.4,"cm"
"54","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","largura petala",3,"cm"
"55","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","tamanho sepala",1.3,"cm"
"56","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","largura sepala",0.2,"cm"
"57","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","tamanho petala",5,"cm"
"58","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","largura petala",3.2,"cm"
"59","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","tamanho sepala",1.2,"cm"
"60","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","largura sepala",0.2,"cm"
"61","Site3_1929-12-01","Site3_1929-12-01_A13","Edgar Anderson","tamanho petala",4.8,"cm"
"62","Site3_1929-12-01","Site3_1929-12-01_A13","Edgar Anderson","largura petala",3,"cm"
"63","Site3_1929-12-01","Site3_1929-12-01_A13","Edgar Anderson","tamanho sepala",1.4,"cm"
"64","Site3_1929-12-01","Site3_1929-12-01_A13","Edgar Anderson","largura sepala",0.1,"cm"
"65","Site3_1929-12-01","Site3_1929-12-01_A16","Edgar Anderson","tamanho petala",5.7,"cm"
"66","Site3_1929-12-01","Site3_1929-12-01_A16","Edgar Anderson","largura petala",4.4,"cm"
"67","Site3_1929-12-01","Site3_1929-12-01_A16","Edgar Anderson","tamanho sepala",1.5,"cm"
"68","Site3_1929-12-01","Site3_1929-12-01_A16","Edgar Anderson","largura sepala",0.4,"cm"
"69","Site3_1929-12-01","Site3_1929-12-01_A28","Edgar Anderson","tamanho petala",5.2,"cm"
"70","Site3_1929-12-01","Site3_1929-12-01_A28","Edgar Anderson","largura petala",3.5,"cm"
"71","Site3_1929-12-01","Site3_1929-12-01_A28","Edgar Anderson","tamanho sepala",1.5,"cm"
"72","Site3_1929-12-01","Site3_1929-12-01_A28","Edgar Anderson","largura sepala",0.2,"cm"
"73","Site3_1929-12-01","Site3_1929-12-01_A4","Edgar Anderson","tamanho petala",4.6,"cm"
"74","Site3_1929-12-01","Site3_1929-12-01_A4","Edgar Anderson","largura petala",3.1,"cm"
"75","Site3_1929-12-01","Site3_1929-12-01_A4","Edgar Anderson","tamanho sepala",1.5,"cm"
"76","Site3_1929-12-01","Site3_1929-12-01_A4","Edgar Anderson","largura sepala",0.2,"cm"
"77","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","tamanho petala",4.6,"cm"
"78","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","largura petala",3.2,"cm"
"79","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","tamanho sepala",1.4,"cm"
"80","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","largura sepala",0.2,"cm"
"81","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","tamanho petala",5.8,"cm"
"82","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","largura petala",4,"cm"
"83","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","tamanho sepala",1.2,"cm"
"84","Site1_1929-12-01","Site1_1929-12-01_A15","Edgar Anderson","largura sepala",0.2,"cm"
"85","Site3_1929-12-01","Site3_1929-12-01_A25","Edgar Anderson","tamanho petala",4.8,"cm"
"86","Site3_1929-12-01","Site3_1929-12-01_A25","Edgar Anderson","largura petala",3.4,"cm"
"87","Site3_1929-12-01","Site3_1929-12-01_A25","Edgar Anderson","tamanho sepala",1.9,"cm"
"88","Site3_1929-12-01","Site3_1929-12-01_A25","Edgar Anderson","largura sepala",0.2,"cm"
"89","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","tamanho petala",5,"cm"
"90","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","largura petala",3,"cm"
"91","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","tamanho sepala",1.6,"cm"
"92","Site2_1930-02-13","Site2_1930-02-13_A26","Edgar Anderson","largura sepala",0.2,"cm"
"93","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","tamanho petala",4.7,"cm"
"94","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","largura petala",3.2,"cm"
"95","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","tamanho sepala",1.3,"cm"
"96","Site1_1929-12-01","Site1_1929-12-01_A3","Edgar Anderson","largura sepala",0.2,"cm"
"97","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","tamanho petala",5.4,"cm"
"98","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","largura petala",3.4,"cm"
"99","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","tamanho sepala",1.5,"cm"
"100","Site2_1930-02-13","Site2_1930-02-13_A32","Edgar Anderson","largura sepala",0.4,"cm"
"101","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","tamanho petala",5,"cm"
"102","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","largura petala",3.5,"cm"
"103","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","tamanho sepala",1.3,"cm"
"104","Site2_1930-02-13","Site2_1930-02-13_A41","Edgar Anderson","largura sepala",0.3,"cm"
"105","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","tamanho petala",5.1,"cm"
"106","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","largura petala",3.8,"cm"
"107","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","tamanho sepala",1.6,"cm"
"108","Site2_1930-02-13","Site2_1930-02-13_A47","Edgar Anderson","largura sepala",0.2,"cm"
"109","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","tamanho petala",4.5,"cm"
"110","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","largura petala",2.3,"cm"
"111","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","tamanho sepala",1.3,"cm"
"112","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","largura sepala",0.3,"cm"
"113","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","tamanho petala",4.7,"cm"
"114","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","largura petala",3.2,"cm"
"115","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","tamanho sepala",1.6,"cm"
"116","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","largura sepala",0.2,"cm"
"117","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","tamanho petala",4.4,"cm"
"118","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","largura petala",3,"cm"
"119","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","tamanho sepala",1.3,"cm"
"120","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","largura sepala",0.2,"cm"
"121","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","tamanho petala",5,"cm"
"122","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","largura petala",3.2,"cm"
"123","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","tamanho sepala",1.2,"cm"
"124","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","largura sepala",0.2,"cm"
"125","Site3_1929-12-01","Site3_1929-12-01_A49","Edgar Anderson","tamanho petala",5.3,"cm"
"126","Site3_1929-12-01","Site3_1929-12-01_A49","Edgar Anderson","largura petala",3.7,"cm"
"127","Site3_1929-12-01","Site3_1929-12-01_A49","Edgar Anderson","tamanho sepala",1.5,"cm"
"128","Site3_1929-12-01","Site3_1929-12-01_A49","Edgar Anderson","largura sepala",0.2,"cm"
"129","Site1_1929-12-01","Site1_1929-12-01_A12 ","Edgar Anderson","tamanho petala",1.6,"cm"
"130","Site1_1929-12-01","Site1_1929-12-01_A12 ","Edgar Anderson","largura petala",0.2,"cm"
"131","Site1_1929-12-01","Site1_1929-12-01_A12 ","Edgar Anderson","tamanho sepala",4.8,"cm"
"132","Site1_1929-12-01","Site1_1929-12-01_A12 ","Edgar Anderson","largura sepala",3.4,"cm"
"133","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","tamanho petala",1.3,"cm"
"134","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","largura petala",0.4,"cm"
"135","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","tamanho sepala",5.4,"cm"
"136","Site2_1930-02-13","Site2_1930-02-13_A17","Edgar Anderson","largura sepala",3.9,"cm"
"137","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","tamanho petala",1.5,"cm"
"138","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","largura petala",0.3,"cm"
"139","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","tamanho sepala",5.1,"cm"
"140","Site2_1930-02-13","Site2_1930-02-13_A20","Edgar Anderson","largura sepala",3.8,"cm"
"141","Site2_1930-02-14","Site2_1930-02-14_A44","Edgar Anderson","tamanho petala",1.6,"cm"
"142","Site2_1930-02-14","Site2_1930-02-14_A44","Edgar Anderson","largura petala",0.6,"cm"
"143","Site2_1930-02-14","Site2_1930-02-14_A44","Edgar Anderson","tamanho sepala",5,"cm"
"144","Site2_1930-02-14","Site2_1930-02-14_A44","Edgar Anderson","largura sepala",3.5,"cm"
"145","Site2_1930-02-15","Site2_1930-02-15_A50","Edgar Anderson","tamanho petala",1.4,"cm"
"146","Site2_1930-02-15","Site2_1930-02-15_A50","Edgar Anderson","largura petala",0.2,"cm"
"147","Site2_1930-02-15","Site2_1930-02-15_A50","Edgar Anderson","tamanho sepala",5,"cm"
"148","Site2_1930-02-15","Site2_1930-02-15_A50","Edgar Anderson","largura sepala",3.3,"cm"
"149","Site3_1929-12-01","Site3_1929-12-01_A19","Edgar Anderson","tamanho petala",1.7,"cm"
"150","Site3_1929-12-01","Site3_1929-12-01_A19","Edgar Anderson","largura petala",0.3,"cm"
"151","Site3_1929-12-01","Site3_1929-12-01_A19","Edgar Anderson","tamanho sepala",5.7,"cm"
"152","Site3_1929-12-01","Site3_1929-12-01_A19","Edgar Anderson","largura sepala",3.8,"cm"
"153","Site3_1929-12-02","Site3_1929-12-02_A22","Edgar Anderson","tamanho petala",1.5,"cm"
"154","Site3_1929-12-02","Site3_1929-12-02_A22","Edgar Anderson","largura petala",0.4,"cm"
"155","Site3_1929-12-02","Site3_1929-12-02_A22","Edgar Anderson","tamanho sepala",5.1,"cm"
"156","Site3_1929-12-02","Site3_1929-12-02_A22","Edgar Anderson","largura sepala",3.7,"cm"
"157","Site3_1929-12-03","Site3_1929-12-03_A34","Edgar Anderson","tamanho petala",1.4,"cm"
"158","Site3_1929-12-03","Site3_1929-12-03_A34","Edgar Anderson","largura petala",0.2,"cm"
"159","Site3_1929-12-03","Site3_1929-12-03_A34","Edgar Anderson","tamanho sepala",5.5,"cm"
"160","Site3_1929-12-03","Site3_1929-12-03_A34","Edgar Anderson","largura sepala",4.2,"cm"
"161","Site3_1929-12-04","Site3_1929-12-04_A1","Edgar Anderson","tamanho petala",1.4,"cm"
"162","Site3_1929-12-04","Site3_1929-12-04_A1","Edgar Anderson","largura petala",0.2,"cm"
"163","Site3_1929-12-04","Site3_1929-12-04_A1","Edgar Anderson","tamanho sepala",5.1,"cm"
"164","Site3_1929-12-04","Site3_1929-12-04_A1","Edgar Anderson","largura sepala",3.5,"cm"
"165","Site3_1929-12-05","Site3_1929-12-05_A7","Edgar Anderson","tamanho petala",1.4,"cm"
"166","Site3_1929-12-05","Site3_1929-12-05_A7","Edgar Anderson","largura petala",0.3,"cm"
"167","Site3_1929-12-05","Site3_1929-12-05_A7","Edgar Anderson","tamanho sepala",4.6,"cm"
"168","Site3_1929-12-05","Site3_1929-12-05_A7","Edgar Anderson","largura sepala",3.4,"cm"
"169","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","tamanho petala",4,"cm"
"170","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","largura petala",1,"cm"
"171","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","tamanho sepala",6,"cm"
"172","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","largura sepala",2.2,"cm"
"173","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","tamanho petala",4,"cm"
"174","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","largura petala",1.3,"cm"
"175","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","tamanho sepala",6.1,"cm"
"176","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","largura sepala",2.8,"cm"
"177","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","tamanho petala",4,"cm"
"178","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","largura petala",1.3,"cm"
"179","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","tamanho sepala",5.5,"cm"
"180","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","largura sepala",2.5,"cm"
"181","Site3_1929-12-01","Site3_1929-12-01_A52","Edgar Anderson","tamanho petala",4.5,"cm"
"182","Site3_1929-12-01","Site3_1929-12-01_A52","Edgar Anderson","largura petala",1.5,"cm"
"183","Site3_1929-12-01","Site3_1929-12-01_A52","Edgar Anderson","tamanho sepala",6.4,"cm"
"184","Site3_1929-12-01","Site3_1929-12-01_A52","Edgar Anderson","largura sepala",3.2,"cm"
"185","Site3_1929-12-01","Site3_1929-12-01_A67","Edgar Anderson","tamanho petala",4.5,"cm"
"186","Site3_1929-12-01","Site3_1929-12-01_A67","Edgar Anderson","largura petala",1.5,"cm"
"187","Site3_1929-12-01","Site3_1929-12-01_A67","Edgar Anderson","tamanho sepala",5.6,"cm"
"188","Site3_1929-12-01","Site3_1929-12-01_A67","Edgar Anderson","largura sepala",3,"cm"
"189","Site3_1929-12-01","Site3_1929-12-01_A64","Edgar Anderson","tamanho petala",6.1,"cm"
"190","Site3_1929-12-01","Site3_1929-12-01_A64","Edgar Anderson","largura petala",2.9,"cm"
"191","Site3_1929-12-01","Site3_1929-12-01_A64","Edgar Anderson","tamanho sepala",4.7,"cm"
"192","Site3_1929-12-01","Site3_1929-12-01_A64","Edgar Anderson","largura sepala",1.4,"cm"
"193","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","tamanho petala",6.2,"cm"
"194","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","largura petala",2.2,"cm"
"195","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","tamanho sepala",4.5,"cm"
"196","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","largura sepala",1.5,"cm"
"197","Site3_1929-12-01","Site3_1929-12-01_A112","Edgar Anderson","tamanho petala",6.4,"cm"
"198","Site3_1929-12-01","Site3_1929-12-01_A112","Edgar Anderson","largura petala",2.7,"cm"
"199","Site3_1929-12-01","Site3_1929-12-01_A112","Edgar Anderson","tamanho sepala",5.3,"cm"
"200","Site3_1929-12-01","Site3_1929-12-01_A112","Edgar Anderson","largura sepala",1.9,"cm"
