"";"amostra";"spp";"data";"site";"latitude";"longitude";"tamanho_petala";"largura_petala";"tamanho_sepala";"largura_sepala"
"1";"A21";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"1.7";"0.2";"5.4";"3.4"
"2";"A24";"Iris setosa";1929-12-01;"Site1";"48.935967";"-64.840984";"1.7";"0.5";"5.1";"3.3"
"3";"A33";"Iris setosa";1929-12-01;"Site1";"48.935968";"-64.840984";"1.5";"0.1";"5.2";"4.1"
"4";"A29";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"1.4";"0.2";"5.1";"3.4"
"5";"A35";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766513";"1.5";"0.2";"4.9";"3.1"
"6";"A5";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766514";"1.4";"0.2";"5";"3.6"
"7";"A14";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766515";"1.1";"0.1";"4.3";"3"
"8";"A37";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"1.3";"0.2";"5.5";"3.5"
"9";"A10";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"1.5";"0.1";"4.9";"3.1"
"26";"A75";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"6.4";"2.9";"4.3";"1.3"
"27";"A96";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5.7";"3";"4.2";"1.2"
"42";"A128";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"6.1";"3";"4.9";"1.8"
"43";"A133";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"6.4";"2.8";"5.6";"2.2"
"44";"A39";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.4";"3";"1.3";"0.2"
"45";"A36";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5";"3.2";"1.2";"0.2"
"54";"A13";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"4.8";"3";"1.4";"0.1"
"60";"A16";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"5.7";"4.4";"1.5";"0.4"
"61";"A28";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"5.2";"3.5";"1.5";"0.2"
"62";"A4";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"4.6";"3.1";"1.5";"0.2"
"63";"A48";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.6";"3.2";"1.4";"0.2"
"81";"A15";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5.8";"4";"1.2";"0.2"
"82";"A25";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"4.8";"3.4";"1.9";"0.2"
"83";"A26";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5";"3";"1.6";"0.2"
"84";"A3";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.7";"3.2";"1.3";"0.2"
"85";"A32";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5.4";"3.4";"1.5";"0.4"
"86";"A41";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5";"3.5";"1.3";"0.3"
"87";"A47";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"5.1";"3.8";"1.6";"0.2"
"104";"A42";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.5";"2.3";"1.3";"0.3"
"110";"A30";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.7";"3.2";"1.6";"0.2"
"119";"A39";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"4.4";"3";"1.3";"0.2"
"120";"A36";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"5";"3.2";"1.2";"0.2"
"125";"A49";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"5.3";"3.7";"1.5";"0.2"
"137";"A12 ";"Iris setosa";1929-12-01;"Site1";"48.935966";"-64.840984";"1.6";"0.2";"4.8";"3.4"
"138";"A17";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"1.3";"0.4";"5.4";"3.9"
"139";"A20";"Iris setosa";1930-02-13;"Site2";"48.540502";"-64.766512";"1.5";"0.3";"5.1";"3.8"
"140";"A44";"Iris setosa";1930-02-14;"Site2";"48.540502";"-64.766512";"1.6";"0.6";"5";"3.5"
"141";"A50";"Iris setosa";1930-02-15;"Site2";"48.540502";"-64.766512";"1.4";"0.2";"5";"3.3"
"142";"A19";"Iris setosa";1929-12-01;"Site3";"48.329837";"-65.512333";"1.7";"0.3";"5.7";"3.8"
"143";"A22";"Iris setosa";1929-12-02;"Site3";"48.329837";"-65.512333";"1.5";"0.4";"5.1";"3.7"
"144";"A34";"Iris setosa";1929-12-03;"Site3";"48.329837";"-65.512333";"1.4";"0.2";"5.5";"4.2"
"145";"A1";"Iris setosa";1929-12-04;"Site3";"48.329837";"-65.512333";"1.4";"0.2";"5.1";"3.5"
"146";"A7";"Iris setosa";1929-12-05;"Site3";"48.329837";"-65.512333";"1.4";"0.3";"4.6";"3.4"
"10";"A63";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"4";"1";"6";"2.2"
"11";"A72";"Iris versicolor";1929-12-01;"Site1";"48.935967";"-64.840984";"4";"1.3";"6.1";"2.8"
"12";"A90";"Iris versicolor";1929-12-01;"Site1";"48.935968";"-64.840984";"4";"1.3";"5.5";"2.5"
"13";"A52";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"4.5";"1.5";"6.4";"3.2"
"14";"A67";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"4.5";"1.5";"5.6";"3"
"46";"A64";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.1";"2.9";"4.7";"1.4"
"47";"A69";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.2";"2.2";"4.5";"1.5"
"48";"A112";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.4";"2.7";"5.3";"1.9"
"49";"A86";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6";"3.4";"4.5";"1.6"
"50";"A49";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.3";"3.7";"1.5";"0.2"
"64";"A51";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"7";"3.2";"4.7";"1.4"
"65";"A59";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6.6";"2.9";"4.6";"1.3"
"66";"A61";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5";"2";"3.5";"1"
"67";"A65";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.6";"2.9";"3.6";"1.3"
"68";"A68";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.8";"2.7";"4.1";"1"
"69";"A73";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.3";"2.5";"4.9";"1.5"
"70";"A77";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6.8";"2.8";"4.8";"1.4"
"71";"A78";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.7";"3";"5";"1.7"
"72";"A83";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.8";"2.7";"3.9";"1.2"
"73";"A89";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.6";"3";"4.1";"1.3"
"74";"A97";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.7";"2.9";"4.2";"1.3"
"75";"A99";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"5.1";"2.5";"3";"1.1"
"76";"A100";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.7";"2.8";"4.1";"1.3"
"88";"A54";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"5.5";"2.3";"4";"1.3"
"89";"A58";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"4.9";"2.4";"3.3";"1"
"90";"A62";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.9";"3";"4.2";"1.5"
"91";"A70";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.6";"2.5";"3.9";"1.1"
"92";"A71";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"5.9";"3.2";"4.8";"1.8"
"93";"A76";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.6";"3";"4.4";"1.4"
"94";"A79";"Iris versicolor";1929-12-01;"Site3";"49.329837";"-65.512333";"6";"2.9";"4.5";"1.5"
"95";"A81";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"5.5";"2.4";"3.8";"1.1"
"96";"A82";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.5";"2.4";"3.7";"1"
"97";"A87";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.7";"3.1";"4.7";"1.5"
"98";"A88";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.3";"2.3";"4.4";"1.3"
"99";"A93";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"5.8";"2.6";"4";"1.2"
"100";"A95";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.788512";"5.6";"2.7";"4.2";"1.3"
"101";"A75";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.4";"2.9";"4.3";"1.3"
"102";"A96";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"5.7";"3";"4.2";"1.2"
"103";"A91";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"5.5";"2.6";"4.4";"1.2"
"107";"A66";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.7";"3.1";"4.4";"1.4"
"109";"A57";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.3";"3.3";"4.7";"1.6"
"111";"A55";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.5";"2.8";"4.6";"1.5"
"112";"A74";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6.1";"2.8";"4.7";"1.2"
"121";"A64";"Iris versicolor";1929-12-01;"Site3";"48.329837";"-65.512333";"6.1";"2.9";"4.7";"1.4"
"122";"A69";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"6.2";"2.2";"4.5";"1.5"
"124";"A86";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"6";"3.4";"4.5";"1.6"
"147";"A84";"Iris versicolor";1929-12-01;"Site1";"48.935966";"-64.840984";"5.1";"1.6";"6";"2.7"
"148";"A53";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"4.9";"1.5";"6.9";"3.1"
"149";"A98";"Iris versicolor";1930-02-13;"Site2";"48.540502";"-64.766512";"4.3";"1.3";"6.2";"2.9"
"150";"A94";"Iris versicolor";1929-12-05;"Site3";"48.329837";"-65.512333";"3.3";"1";"5";"2.3"
"15";"A108";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.3";"1.8";"7.3";"2.9"
"16";"A111";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5.1";"2";"6.5";"3.2"
"17";"A117";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5.5";"1.8";"6.5";"3"
"18";"A120";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5";"1.5";"6";"2.2"
"19";"A122";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"4.9";"2";"5.6";"2.8"
"20";"A131";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766513";"6.1";"1.9";"7.4";"2.8"
"21";"A140";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766514";"5.4";"2.1";"6.9";"3.1"
"22";"A109";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"5.8";"1.8";"6.7";"2.5"
"23";"A115";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"5.1";"2.4";"5.8";"2.8"
"24";"A136";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"6.1";"2.3";"7.7";"3"
"25";"A142";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"5.1";"2.3";"6.9";"3.1"
"28";"A91";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"5.5";"2.6";"4.4";"1.2"
"29";"A42";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"4.5";"2.3";"1.3";"0.3"
"30";"A105";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.5";"3";"5.8";"2.2"
"31";"A113";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.8";"3";"5.5";"2.1"
"32";"A66";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.7";"3.1";"4.4";"1.4"
"33";"A147";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.3";"2.5";"5";"1.9"
"34";"A57";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.3";"3.3";"4.7";"1.6"
"35";"A30";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"4.7";"3.2";"1.6";"0.2"
"36";"A55";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"6.5";"2.8";"4.6";"1.5"
"37";"A74";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.1";"2.8";"4.7";"1.2"
"38";"A104";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.3";"2.9";"5.6";"1.8"
"39";"A123";"Iris virginica";1929-12-01;"Site2";"48.935966";"-64.840984";"7.7";"2.8";"6.7";"2"
"40";"A132";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"7.9";"3.8";"6.4";"2"
"41";"A130";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"7.2";"3";"5.8";"1.6"
"51";"A103";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"7.1";"3";"5.9";"2.1"
"52";"A121";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"6.9";"3.2";"5.7";"2.3"
"53";"A123";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"7.7";"2.8";"6.7";"2"
"55";"A134";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.3";"2.8";"5.1";"1.5"
"56";"A137";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.3";"3.4";"5.6";"2.4"
"57";"A138";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.4";"3.1";"5.5";"1.8"
"58";"A148";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"6.5";"3";"5.2";"2"
"59";"A150";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5.9";"3";"5.1";"1.8"
"77";"A119";"Iris virginica";1930-02-13;"ste2";"48.540502";"-64.766512";"7.7";"2.6";"6.9";"2.3"
"78";"A127";"Iris virginica";1929-12-01;"Site3";"49.329837";"-65.512333";"6.2";"2.8";"4.8";"1.8"
"79";"A129";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64840984";"6.4";"2.8";"5.6";"2.1"
"80";"A149";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.2";"3.4";"5.4";"2.3"
"105";"A105";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.5";"3";"5.8";"2.2"
"106";"A113";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.8";"3";"5.5";"2.1"
"108";"A147";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"6.3";"2.5";"5";"1.9"
"113";"A104";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.3";"2.9";"5.6";"1.8"
"114";"A123";"Iris virginica";1929-12-01;"Site2";"48.935966";"-64.840984";"7.7";"2.8";"6.7";"2"
"115";"A132";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"7.9";"3.8";"6.4";"2"
"116";"A130";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"7.2";"3";"5.8";"1.6"
"117";"A128";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"6.1";"3";"4.9";"1.8"
"118";"A133";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"6.4";"2.8";"5.6";"2.2"
"123";"A112";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"6.4";"2.7";"5.3";"1.9"
"126";"A114";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5";"2";"5.7";"2.5"
"127";"A135";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5.6";"1.4";"6.1";"2.6"
"128";"A144";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5.9";"2.3";"6.8";"3.2"
"129";"A107";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"4.5";"1.7";"4.9";"2.5"
"130";"A110";"Iris virginica";1930-02-13;"Site2";"48.54052";"-64.766512";"6.1";"2.5";"7.2";"3.6"
"131";"A125";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"5.7";"2.1";"6.7";"3.3"
"132";"A143";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"5.1";"1.9";"5.8";"2.7"
"133";"A146";"Iris virginica";1930-02-13;"Site2";"48.540502";"-64.766512";"5.2";"2.3";"6.7";"3"
"134";"A106";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"6.6";"2.1";"7.6";"3"
"135";"A117";"Iris virginica";1929-12-01;"Site1";"48.935966";"-64.840984";"5.5";"1.8";"6.5";"3"
"136";"A145";"Iris virginica";1929-12-01;"Site3";"48.329837";"-65.512333";"5.7";"2.5";"6.7";"3.3"
